mean,sd,Unnamed: 2,Unnamed: 3
0.0158,0.112427754580442,,
0.0225,0.134164078649987,,
0.0257,0.143387586631479,,
0.0274,0.148054044186574,,
0.0283,0.150465942990432,,
0.0287,0.151525575399007,,
0.0288,0.151789327688082,,
0.0286,0.151261363209512,,
0.0284,0.150731549451334,,
0.0281,0.149933318511931,,
0.0277,0.148862352527427,,
0.0273,0.147783625615289,,
0.0269,0.146696966567138,,
0.0265,0.14560219778561,,
0.026,0.14422205101856,,
0.0256,0.143108350559987,,
0.0251,0.141703916671347,,
0.0247,0.140570267126445,,
0.0242,0.139140217047409,,
0.0238,0.137985506485283,,
0.0234,0.136821051011897,,
0.023,0.135646599662505,,
0.0226,0.134461890511773,,
0.0222,0.133266649991661,,
0.0218,0.132060592153753,,
0.0214,0.130843417870369,,
0.021,0.129614813968157,,
0.0205,0.128062484748657,,
0.0202,0.127121988656566,,
0.0199,0.1261744823647,,
0.0195,0.124899959967968,,
0.0192,0.123935467078637,,
0.0189,0.122963409191515,,
0.0186,0.121983605455815,,
0.0184,0.121326007104825,,
0.0181,0.120332871651931,,
0.0178,0.11933147112141,,
0.0175,0.118321595661992,,
0.0173,0.117643529358822,,
0.017,0.116619037896906,,
0.0168,0.115931013969516,,
0.0165,0.114891252930761,,
0.0163,0.114192819388962,,
0.0161,0.113490087672889,,
0.0159,0.112782977438973,,
